"Dates","ARCELOR.MITTAL"
"2000-01-03",34.155
"2000-01-04",33.9343
"2000-01-05",33.87915
"2000-01-06",34.04465
"2000-01-07",36.58285
"2000-01-10",39.1762
"2000-01-11",38.4037
"2000-01-12",36.74835
"2000-01-13",37.35535
"2000-01-14",37.4657
"2000-01-17",38.3485
"2000-01-18",37.8519
"2000-01-19",36.9691
"2000-01-20",36.7484
"2000-01-21",36.1966
"2000-01-24",36.1414
"2000-01-25",34.9827
"2000-01-26",34.9827
"2000-01-27",34.9827
"2000-01-28",32.05825
"2000-01-31",31.341
"2000-02-01",33.32735
"2000-02-02",34.59645
"2000-02-03",36.9139
"2000-02-04",36.4173
"2000-02-07",34.09985
"2000-02-08",34.32055
"2000-02-09",31.9479
"2000-02-10",31.5065
"2000-02-11",29.90635
"2000-02-14",28.6924
"2000-02-15",28.41655
"2000-02-16",29.2442
"2000-02-17",31.3961
"2000-02-18",31.0651
"2000-02-21",31.0099
"2000-02-22",30.8995
"2000-02-23",30.84435
"2000-02-24",30.18225
"2000-02-25",31.45135
"2000-02-28",30.23745
"2000-02-29",29.2994
"2000-03-01",28.9683
"2000-03-02",30.7892
"2000-03-03",31.9479
"2000-03-06",31.2306
"2000-03-07",30.45815
"2000-03-08",29.5201
"2000-03-09",29.96155
"2000-03-10",30.34775
"2000-03-13",31.1754
"2000-03-14",30.5133
"2000-03-15",31.672
"2000-03-16",33.27215
"2000-03-17",33.7688
"2000-03-20",35.2034
"2000-03-21",35.64485
"2000-03-22",35.9759
"2000-03-23",35.9207
"2000-03-24",35.31375
"2000-03-27",35.2586
"2000-03-28",34.4309
"2000-03-29",32.55485
"2000-03-30",31.34095
"2000-03-31",32.2238
"2000-04-03",31.12025
"2000-04-04",31.2306
"2000-04-05",31.2858
"2000-04-06",31.1203
"2000-04-07",31.1203
"2000-04-10",31.06505
"2000-04-11",30.4581
"2000-04-12",29.63045
"2000-04-13",29.79595
"2000-04-14",29.63045
"2000-04-17",27.14745
"2000-04-18",28.4717
"2000-04-19",28.251
"2000-04-20",28.251
"2000-04-21",28.251
"2000-04-24",28.251
"2000-04-25",27.6992
"2000-04-26",27.91995
"2000-04-27",27.97515
"2000-04-28",27.313
"2000-05-01",26.8164
"2000-05-02",27.2578
"2000-05-03",27.64405
"2000-05-04",28.0303
"2000-05-05",27.25785
"2000-05-08",26.4853
"2000-05-09",25.9335
"2000-05-10",26.5405
"2000-05-11",25.93355
"2000-05-12",26.4853
"2000-05-15",26.7612
"2000-05-16",25.8784
"2000-05-17",24.9955
"2000-05-18",24.7748
"2000-05-19",24.7748
"2000-05-22",24.60925
"2000-05-23",24.4989
"2000-05-24",23.50575
"2000-05-25",24.94035
"2000-05-26",23.22985
"2000-05-29",22.5125
"2000-05-30",21.7952
"2000-05-31",21.2986
"2000-06-01",21.2986
"2000-06-02",21.40895
"2000-06-05",21.2986
"2000-06-06",21.5193
"2000-06-07",21.2986
"2000-06-08",20.8572
"2000-06-09",20.6365
"2000-06-12",20.6365
"2000-06-13",20.8572
"2000-06-14",21.96075
"2000-06-15",22.23665
"2000-06-16",22.95395
"2000-06-19",22.62285
"2000-06-20",22.40215
"2000-06-21",22.347
"2000-06-22",21.68485
"2000-06-23",21.3538
"2000-06-26",20.74685
"2000-06-27",20.69165
"2000-06-28",20.96755
"2000-06-29",20.52615
"2000-06-30",21.13305
"2000-07-03",21.409
"2000-07-04",21.409
"2000-07-05",21.6297
"2000-07-06",21.6297
"2000-07-07",21.35375
"2000-07-10",20.41575
"2000-07-11",19.1467
"2000-07-12",18.6501
"2000-07-13",19.20185
"2000-07-14",18.98115
"2000-07-17",18.7053
"2000-07-18",18.42935
"2000-07-19",18.1535
"2000-07-20",18.3742
"2000-07-21",18.04315
"2000-07-24",17.76725
"2000-07-25",17.3258
