"time","PIB","EUR_USD","Dette","Interet","IndusProd","IndusPrixProd","ConstrPermis","ConstrMainDoeuvre","ServiceCA","ServicePrixProd","CommerceMainDoeuvre","HabitatValTransac","CPIEduc","CPIFood"
"1990-01-01",750175.6,1.2055,NA,9.86333,313.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-04-01",767945.9,1.2227,NA,9.63667,312.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-07-01",743388.2,1.2965,NA,10.06333,284.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1990-10-01",782875,1.3666,NA,10.16667,324.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991-01-01",771177.6,1.3413,NA,9.33333,315.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991-04-01",783410.9,1.1876,NA,8.96,324.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991-07-01",766801.2,1.1768,NA,9.04333,295.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991-10-01",806403.7,1.2545,NA,8.81,329.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992-01-01",812023.6,1.2626,NA,8.53,322.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992-04-01",819764.3,1.2718,NA,8.67,312.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992-07-01",805635.6,1.3859,NA,8.89667,284.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992-10-01",862678.4,1.2681,NA,8.25,313.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993-01-01",861110.8,1.1905,NA,7.67,304.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993-04-01",872688.8,1.2068,NA,7.09,298.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993-07-01",838870.6,1.1503,NA,6.4,277.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993-10-01",873540.7,1.14,NA,5.93,309.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994-01-01",881411.9,1.1252,NA,5.99,304.6,NA,85.2,NA,NA,NA,NA,NA,NA,NA
"1994-04-01",896360.4,1.1634,NA,7.05,313.9,NA,92.4,NA,NA,NA,NA,NA,NA,NA
"1994-07-01",881445.1,1.2268,NA,7.7,291.6,NA,94.8,NA,NA,NA,NA,NA,NA,NA
